filename, language, JavaScript, Properties, HTML, JSON, Markdown, Vue, CSS, XML, PHP, comment, blank, total
.editorconfig, Properties, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
.eslintrc.js, JavaScript, 38, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 51
.postcssrc.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
README.md, Markdown, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 10, 28
build\build.js, JavaScript, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
build\check-versions.js, JavaScript, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
build\utils.js, JavaScript, 80, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 102
build\vue-loader.conf.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
build\webpack.base.conf.js, JavaScript, 82, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 98
build\webpack.dev.conf.js, JavaScript, 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 100
build\webpack.prod.conf.js, JavaScript, 121, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 154
config\dev.env.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
config\index.js, JavaScript, 31, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 76
config\prod.env.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
index.html, HTML, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 13, 135
index2.html, HTML, 0, 0, 1662, 0, 0, 0, 0, 0, 0, 58, 42, 1762
package-lock.json, JSON, 0, 0, 0, 12893, 0, 0, 0, 0, 0, 0, 1, 12894
package.json, JSON, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 85
server\proxy.js, JavaScript, 127, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 151
server\server.js, JavaScript, 46, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 71
server\store.js, JavaScript, 146, 0, 0, 0, 0, 0, 0, 0, 0, 61, 16, 223
src\App.vue, Vue, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
src\Components\AircraftDrawer.vue, Vue, 0, 0, 0, 0, 0, 97, 0, 0, 0, 23, 3, 123
src\Components\AutomapDrawer.vue, Vue, 0, 0, 0, 0, 0, 135, 0, 0, 0, 1, 15, 151
src\Components\Autopilot.vue, Vue, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 8, 166
src\Components\Camera.vue, Vue, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 2, 47
src\Components\Index.vue, Vue, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
src\Components\LocationDrawer.vue, Vue, 0, 0, 0, 0, 0, 116, 0, 0, 0, 6, 0, 122
src\Components\Map.vue, Vue, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
src\Components\Navigation.vue, Vue, 0, 0, 0, 0, 0, 224, 0, 0, 0, 3, 19, 246
src\Components\Setting\Control.vue, Vue, 0, 0, 0, 0, 0, 126, 0, 0, 0, 2, 7, 135
src\Components\Setting\Environment.vue, Vue, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 3, 177
src\Components\Setting\Graphics.vue, Vue, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
src\Components\Setting\SettingDrawer.vue, Vue, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 5, 72
src\Components\Setting\Simulation.vue, Vue, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
src\assets\css\font.css, CSS, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 3, 34
src\lib\aircraft\Aircraft.js, JavaScript, 519, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 534
src\lib\aircraft\animation.js, JavaScript, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
src\lib\aircraft\api.js, JavaScript, 1394, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 1434
src\lib\aircraft\debug.js, JavaScript, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112
src\lib\aircraft\fx.js, JavaScript, 959, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 963
src\lib\aircraft\preferences.js, JavaScript, 305, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 311
src\lib\aircraft\runways.js, JavaScript, 275, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 278
src\lib\aircraft\shadow.js, JavaScript, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 53
src\lib\geofs.js, JavaScript, 412, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 428
src\lib\lib\tinycolor.js, JavaScript, 935, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36, 973
src\lib\modules\Object3D.js, JavaScript, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 255
src\lib\modules\OverLay.js, JavaScript, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 264
src\lib\modules\audio.js, JavaScript, 309, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 313
src\lib\modules\camera.js, JavaScript, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 321
src\lib\modules\controls.js, JavaScript, 904, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 922
src\lib\modules\flight.js, JavaScript, 545, 0, 0, 0, 0, 0, 0, 0, 0, 51, 4, 600
src\lib\modules\instruments.js, JavaScript, 1570, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 1587
src\lib\modules\objects.js, JavaScript, 145, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 150
src\lib\modules\rigidBody.js, JavaScript, 130, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 139
src\lib\modules\weather.js, JavaScript, 289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 295
